make,make_slug,model,model_slug,year_from,year_to,engine_name,engine_code,displacement,fuel,power_hp,engine_year_from,engine_year_to
Toyota,toyota,Camry,camry,2006,2011,2.4 бензин (2AZ-FE),2AZ-FE,2.4,petrol,167,2006,2011
Toyota,toyota,Camry,camry,2006,2011,3.5 бензин (2GR-FE),2GR-FE,3.5,petrol,277,2006,2011
Toyota,toyota,Camry,camry,2011,2018,2.0 бензин (3ZR-FAE),3ZR-FAE,2.0,petrol,150,2011,2018
Toyota,toyota,Camry,camry,2011,2018,2.5 бензин (2AR-FE),2AR-FE,2.5,petrol,181,2011,2018
Toyota,toyota,Camry,camry,2011,2018,3.5 бензин (2GR-FE),2GR-FE,3.5,petrol,277,2011,2018
Toyota,toyota,RAV4,rav4,2012,2019,2.0 бензин (3ZR-FAE),3ZR-FAE,2.0,petrol,146,2012,2019
Toyota,toyota,RAV4,rav4,2012,2019,2.5 гибрид (2AR-FXE),2AR-FXE,2.5,hybrid,155,2012,2019
Toyota,toyota,RAV4,rav4,2019,2025,2.0 бензин (M20A-FKS),M20A-FKS,2.0,petrol,149,2019,2025
Kia,kia,Rio,rio,2011,2017,1.4 бензин (G4FA),G4FA,1.4,petrol,107,2011,2017
Kia,kia,Rio,rio,2011,2017,1.6 бензин (G4FC),G4FC,1.6,petrol,123,2011,2017
Kia,kia,Rio,rio,2017,2025,1.4 бензин (G4LC),G4LC,1.4,petrol,100,2017,2025
Kia,kia,Rio,rio,2017,2025,1.6 бензин (G4FC),G4FC,1.6,petrol,123,2017,2025
Kia,kia,Sportage,sportage,2010,2016,2.0 бензин (G4KD),G4KD,2.0,petrol,150,2010,2016
Kia,kia,Sportage,sportage,2010,2016,2.0 дизель (D4HA),D4HA,2.0,diesel,184,2010,2016
Kia,kia,Sportage,sportage,2016,2021,2.0 бензин (G4NA),G4NA,2.0,petrol,150,2016,2021
Hyundai,hyundai,Solaris,solaris,2010,2017,1.4 бензин (G4FA),G4FA,1.4,petrol,107,2010,2017
Hyundai,hyundai,Solaris,solaris,2010,2017,1.6 бензин (G4FC),G4FC,1.6,petrol,123,2010,2017
Hyundai,hyundai,Solaris,solaris,2017,2025,1.4 бензин (G4LC),G4LC,1.4,petrol,100,2017,2025
Hyundai,hyundai,Creta,creta,2016,2021,1.6 бензин (G4FC),G4FC,1.6,petrol,123,2016,2021
Hyundai,hyundai,Creta,creta,2016,2021,2.0 бензин (G4NA),G4NA,2.0,petrol,150,2016,2021
Volkswagen,volkswagen,Polo,polo,2010,2020,1.4 бензин (CGGA),CGGA,1.4,petrol,85,2010,2020
Volkswagen,volkswagen,Polo,polo,2010,2020,1.6 бензин (CFNA),CFNA,1.6,petrol,105,2010,2020
Volkswagen,volkswagen,Tiguan,tiguan,2007,2016,1.4 TSI (CAVD),CAVD,1.4,petrol,150,2007,2016
Volkswagen,volkswagen,Tiguan,tiguan,2007,2016,2.0 TSI (CCZB),CCZB,2.0,petrol,200,2007,2016
Volkswagen,volkswagen,Tiguan,tiguan,2016,2025,1.4 TSI (CZDA),CZDA,1.4,petrol,150,2016,2025
Lada,lada,Vesta,vesta,2015,2025,1.6 бензин (HR16),HR16,1.6,petrol,106,2015,2025
Lada,lada,Granta,granta,2011,2025,1.6 бензин (11186),11186,1.6,petrol,87,2011,2025
Lada,lada,Granta,granta,2011,2025,1.6 бензин (21126),21126,1.6,petrol,98,2011,2025
Nissan,nissan,Qashqai,qashqai,2007,2013,1.6 бензин (HR16DE),HR16DE,1.6,petrol,117,2007,2013
Nissan,nissan,Qashqai,qashqai,2007,2013,2.0 бензин (MR20DE),MR20DE,2.0,petrol,141,2007,2013
Nissan,nissan,Qashqai,qashqai,2013,2021,1.2 бензин (HRA2DDT),HRA2DDT,1.2,petrol,115,2013,2021
Nissan,nissan,X-Trail,x-trail,2014,2021,1.6 дизель (R9M),R9M,1.6,diesel,130,2014,2021
Nissan,nissan,X-Trail,x-trail,2014,2021,2.0 бензин (MR20DD),MR20DD,2.0,petrol,144,2014,2021
Skoda,skoda,Octavia,octavia,2008,2013,1.4 TSI (CAXA),CAXA,1.4,petrol,122,2008,2013
Skoda,skoda,Octavia,octavia,2008,2013,1.8 TSI (CJSA),CJSA,1.8,petrol,152,2008,2013
Skoda,skoda,Octavia,octavia,2013,2020,1.4 TSI (CHPA),CHPA,1.4,petrol,140,2013,2020
Skoda,skoda,Rapid,rapid,2012,2020,1.4 МПИ (CGGB),CGGB,1.4,petrol,85,2012,2020
